50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure
,,,,,,,,,,,,2.333,,,,,,,,,,,,,,,56e43368-be0b-41d3-9bdf-7dcb0512dc55,1384,,"[32.0, 19.0]",7532,39,,0.26299474,,,Head,,,,"[58.0, 26.0]",,High Pass,26.925823,,Incomplete,Jefferson Agustín Farfán Guadalupe,,,Recovery,1,From Throw In,Renato Fabrizio Tapia Cortijo,5523.0,Right Center Midfield,76,Denmark,776,"['75ec1a86-9ff0-499e-b67e-d1b38a1d4181', '9fe913ec-c2df-44b0-9967-5ea94ec0fae6', 'aa15786d-34e9-47be-b207-ed8c3bb2f1cd']",56,,,,,,,,,,,,,,,Peru,00:39:56.400,Pass,
,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,aa15786d-34e9-47be-b207-ed8c3bb2f1cd,1386,,"[63.0, 55.0]",7532,39,,0.0,,,Head,,,,"[71.0, 55.0]",,High Pass,8.0,,,Lasse Schöne,,,Recovery,1,From Throw In,Andreas Christensen,3959.0,Left Center Back,76,Denmark,776,"['56e43368-be0b-41d3-9bdf-7dcb0512dc55', 'f5924c98-7db8-49db-aa38-fbd51cced8d5']",58,,,,,,,,,,,,,,,Denmark,00:39:58.733,Pass,
,,,,,,,,,,,,2.24,,,,,,,,,,,,,,,11ed759e-0da0-496b-952d-a1c1d762cc1f,1389,,"[70.0, 54.0]",7532,39,,2.5065658,,,Right Foot,,,,"[51.0, 68.0]",,Ground Pass,23.600847,,,Simon Thorup Kjær,,,,1,From Throw In,Lasse Schöne,5520.0,Right Center Midfield,76,Denmark,776,['b67f8cf0-1f27-4391-8dbf-90e7790d3c41'],59,,,,,,,,,,,,,,,Denmark,00:39:59.853,Pass,
,,,,,,,,,,,,2.279,,,,,,,,,,,,,,,fc0e7805-e9d4-4eb7-88a9-36a47015b69e,1392,,"[43.0, 74.0]",7532,40,,-2.3561945,,,Left Foot,,,,"[19.0, 50.0]",,Ground Pass,33.941124,,,Kasper Schmeichel,,,,1,From Throw In,Simon Thorup Kjær,5534.0,Right Center Back,76,Denmark,776,['a39ac5c5-f7d1-490b-84f5-b9cc7855edd6'],3,,,,,,,,,,,,,,,Denmark,00:40:03.453,Pass,
,,,,,,,,,,,,1.52,,,,,,,,,,,,,,,b9150e89-60dd-41be-af11-f5fc8a0b6ccf,1395,,"[19.0, 46.0]",7532,40,,1.1441689,,,Right Foot,,,,"[29.0, 68.0]",,Ground Pass,24.166092,,,Simon Thorup Kjær,,,,1,From Throw In,Kasper Schmeichel,3815.0,Goalkeeper,76,Denmark,776,['3a9f4d86-4567-499d-abee-3d06a3530f6c'],8,,,,,,,,,,,,,,,Denmark,00:40:08.813,Pass,
,,,,,,,,,,,,2.36,,,,,,,,,,,,,,,e908f241-c14f-48cb-b0d4-931cff02474f,1398,,"[35.0, 69.0]",7532,40,,-2.38058,,,Left Foot,,,,"[14.0, 49.0]",,Ground Pass,29.0,,,Kasper Schmeichel,,,,1,From Throw In,Simon Thorup Kjær,5534.0,Right Center Back,76,Denmark,776,['888ac18c-bf60-4c6a-832d-dfebb1000536'],19,,,,,,,,,,,,,,,Denmark,00:40:19.613,Pass,
,,,,,,,,,,,,1.32,,,,,,,,,,,,,,,186821c0-0267-4f2f-bfa7-d917502655c9,1401,,"[22.0, 42.0]",7532,40,,-0.8097836,,,Right Foot,,,,"[42.0, 21.0]",,Ground Pass,29.0,,,Thomas Delaney,,,,1,From Throw In,Kasper Schmeichel,3815.0,Goalkeeper,76,Denmark,776,['bebbfe53-6a44-4cf9-bc96-4c199f10e633'],28,,,,,,,,,,,,,,,Denmark,00:40:28.280,Pass,
,,,,,,,,,,,,3.04,,,,,,,,,,,,,,,5536bdda-8b1f-4391-a544-4a0f14490326,1404,,"[53.0, 22.0]",7532,40,,0.91716045,,,Left Foot,,,,"[89.0, 69.0]",,High Pass,59.20304,,,Yussuf Yurary Poulsen,,True,,1,From Throw In,Thomas Delaney,5527.0,Left Center Midfield,76,Denmark,776,['68edbcbd-ac59-496e-8fb2-b7de46b8e594'],31,,,,,,,,,,,,,,,Denmark,00:40:31.653,Pass,
,,,,,,,,,,,,1.479,,,,,,,,,,,,,,,d0355b9c-68fc-47c9-975f-d6c15357e93f,1406,,"[89.0, 69.0]",7532,40,,2.4227626,,,Head,,,,"[81.0, 76.0]",,Low Pass,10.630146,,,Henrik Dalsgaard,,,,1,From Throw In,Yussuf Yurary Poulsen,5536.0,Right Wing,76,Denmark,776,['4d2f96c3-d096-48d8-af78-011e7bc11c94'],34,,,,,,,,,,,,,,,Denmark,00:40:34.693,Pass,
,,,,,,,,,,,,0.759,,,,,,,,,,,,,,,2130910d-eb6b-4f0e-a239-f505a72ffda6,1409,,"[79.0, 71.0]",7532,40,,-2.1293957,,,Right Foot,,,,"[74.0, 63.0]",,Ground Pass,9.433981,,,Lasse Schöne,,,,1,From Throw In,Henrik Dalsgaard,4763.0,Right Back,76,Denmark,776,['d621259a-e7b7-4e22-86d5-997d707ec8c0'],36,,,,,,,,,,,,,,,Denmark,00:40:36.573,Pass,
,,,,,,,,,,,,0.573,,,,,,,,,,,,,,,9c544553-63dd-470a-bf89-391278b3289f,1413,,"[74.0, 65.0]",7532,40,,-0.16514868,,,Right Foot,,,,"[86.0, 63.0]",,Ground Pass,12.165525,,,Christian Dannemann Eriksen,,,,1,From Throw In,Lasse Schöne,5520.0,Right Center Midfield,76,Denmark,776,['c73a1fb2-e802-4192-b93b-64ae12acdf44'],37,,,,,,,,,,,,,,,Denmark,00:40:37.840,Pass,
,,,,,,,,,,,,1.747,,,,,,,,,,,,,,,ab8589ff-c5d8-4239-bd54-709e27ca5c54,1416,,"[90.0, 62.0]",7532,40,,-0.9440534,,,Right Foot,,,,"[111.0, 33.0]",,High Pass,35.805027,,Incomplete,Jens Stryger Larsen,,,,1,From Throw In,Christian Dannemann Eriksen,3043.0,Center Attacking Midfield,76,Denmark,776,"['36d795b1-b98b-4629-923b-635e6bd6a98b', '3e893b1b-e252-479d-bdf7-651e93e4e267']",40,,,,,,,,,,,,,,,Denmark,00:40:40.053,Pass,
,,,,,,,,,,,,1.666,,,,,,,,,,,,,,,593eb893-a955-4a13-b57b-f044fa9d91a2,1419,,"[112.0, 24.0]",7532,40,,3.0309355,88098824-f35e-415e-a7c6-5d22a1586b07,,Head,,,,"[103.0, 25.0]",,Low Pass,9.055386,,,Thomas Delaney,True,,Recovery,1,From Throw In,Jens Stryger Larsen,5524.0,Left Back,76,Denmark,776,['58462f81-db24-4466-8c3c-d33c31bbe8d6'],43,,,,,,,,,,,,,,,Denmark,00:40:43.293,Pass,
,,,,,,,,,,,,3.693,,,,,,,,,,,,,,,aa420e18-d678-412b-9fee-920840fd011e,1423,,"[7.0, 38.0]",7532,41,,-0.15991312,,,Left Foot,,,,"[69.0, 28.0]",,High Pass,62.801273,,Incomplete,,,,Goal Kick,1,From Goal Kick,Pedro David Gallese Quiróz,5528.0,Goalkeeper,77,Peru,784,['28442d57-5a87-4599-9a8d-633366947be0'],28,,,,,,,,,,,,,,,Peru,00:41:28.400,Pass,
,,,,,,,,,,,,1.52,,,,,,,,,,,,,,,28442d57-5a87-4599-9a8d-633366947be0,1425,,"[59.0, 49.0]",7532,41,True,-0.66104317,,,,,,,"[68.0, 42.0]",,High Pass,11.401754,,Incomplete,Nicolai Jørgensen,,,Recovery,1,From Goal Kick,Yussuf Yurary Poulsen,5536.0,Right Wing,77,Peru,784,"['04d54ff2-d656-4278-985d-60f5f3624759', '415c7f95-4236-4878-b659-ec49f9be30cf', 'aa420e18-d678-412b-9fee-920840fd011e', 'd885b31b-58e4-4e33-afa6-f25b913befa7']",32,,,,,,,,,,,,,,,Denmark,00:41:32.093,Pass,True
,,,,,,,,,,,,0.719,,,,,,,,,,,,,,,415c7f95-4236-4878-b659-ec49f9be30cf,1427,,"[53.0, 39.0]",7532,41,,-0.16514868,,,Head,,,,"[59.0, 38.0]",,High Pass,6.0827627,,,Renato Fabrizio Tapia Cortijo,,,Recovery,1,From Goal Kick,Christian Guillermo Martín Ramos Garagay,5530.0,Right Center Back,77,Peru,784,"['28442d57-5a87-4599-9a8d-633366947be0', 'bd49f6f7-62e8-40a7-ad0e-3c96209b6284']",33,,,,,,,,,,,,,,,Peru,00:41:33.613,Pass,
